phone_id,number,owner_id
PH-00319,+91-9469037192,P-00248
PH-00320,+91-7592088525,P-00249
PH-00321,+91-7017482708,P-00250
PH-00322,+91-9623151195,P-00251
PH-00323,+91-7403115130,P-00251
PH-00324,+91-8884437030,P-00252
PH-00325,+91-7287783727,P-00253
PH-00326,+91-9790014588,P-00254
PH-00327,+91-7408676341,P-00255
PH-00328,+91-8191381359,P-00256
PH-00329,+91-8386296266,P-00257
PH-00330,+91-7813749400,P-00258
PH-00331,+91-8702148456,P-00259
PH-00332,+91-7458285637,P-00260
PH-00333,+91-8607051017,P-00260
PH-00334,+91-8986380544,P-00261
PH-00335,+91-9254222977,P-00262
PH-00336,+91-7776914814,P-00263
PH-00337,+91-7464249283,P-00264
PH-00338,+91-7439788924,P-00265
PH-00339,+91-8939157063,P-00266
PH-00340,+91-7421091567,P-00267
PH-00341,+91-7243682069,P-00268
PH-00342,+91-7835444167,P-00268
PH-00343,+91-9129131406,P-00269
PH-00344,+91-8310969777,P-00269
PH-00345,+91-7832898673,P-00270
PH-00346,+91-9275728775,P-00271
PH-00347,+91-8756036707,P-00271
PH-00348,+91-9062945310,P-00272
PH-00349,+91-9341058777,P-00273
PH-00350,+91-8375230118,P-00274
PH-00351,+91-9581466836,P-00275
PH-00352,+91-7084989116,P-00276
PH-00353,+91-7811020161,P-00276
PH-00354,+91-7408379660,P-00277
PH-00355,+91-9241281875,P-00278
PH-00356,+91-7216153169,P-00279
PH-00357,+91-9097721662,P-00279
PH-00358,+91-9979453714,P-00280
PH-00359,+91-7479439591,P-00281
PH-00360,+91-7032322838,P-00282
PH-00361,+91-7728159628,P-00283
PH-00362,+91-7344026187,P-00283
PH-00363,+91-8725150180,P-00284
PH-00364,+91-7313079331,P-00285
PH-00365,+91-8143284993,P-00285
PH-00366,+91-8807245527,P-00286
PH-00367,+91-9937816286,P-00287
PH-00368,+91-8042061060,P-00288
PH-00369,+91-8131098842,P-00289
PH-00370,+91-8562587635,P-00290
PH-00371,+91-7418043955,P-00290
PH-00372,+91-9250077314,P-00291
PH-00373,+91-9154726563,P-00292
PH-00374,+91-8241284391,P-00293
PH-00375,+91-7173293780,P-00294
PH-00376,+91-9318342651,P-00295
PH-00377,+91-9315970003,P-00296
PH-00378,+91-7599967535,P-00296
PH-00379,+91-9616471428,P-00297
PH-00380,+91-7903866068,P-00298
PH-00381,+91-8000093313,P-00299
PH-00382,+91-8001563282,P-00300
PH-00383,+91-9769721814,P-00301
PH-00384,+91-7251341462,P-00302
PH-00385,+91-7541085407,P-00303
PH-00386,+91-7277147467,P-00304
PH-00387,+91-9648711401,P-00305
PH-00388,+91-8389398740,P-00305
PH-00389,+91-8571775248,P-00306
PH-00390,+91-8328611821,P-00307
PH-00391,+91-9984710955,P-00308
PH-00392,+91-9302280035,P-00309
PH-00393,+91-9456555227,P-00309
PH-00394,+91-9421496661,P-00310
PH-00395,+91-8990268805,P-00311
PH-00396,+91-9210278618,P-00312
PH-00397,+91-7572819846,P-00313
PH-00398,+91-9750527474,P-00314
PH-00399,+91-7166865407,P-00315
PH-00400,+91-8242232345,P-00316
PH-00401,+91-8223124841,P-00316
PH-00402,+91-9995199006,P-00317
PH-00403,+91-9725480663,P-00318
PH-00404,+91-7950449213,P-00319
PH-00405,+91-7961844701,P-00320
PH-00406,+91-7698110292,P-00320
PH-00407,+91-7712549953,P-00321
PH-00408,+91-9106877571,P-00321
PH-00409,+91-8517390969,P-00322
PH-00410,+91-7188456628,P-00323
PH-00411,+91-7019390678,P-00323
PH-00412,+91-8076549105,P-00324
PH-00413,+91-8159624046,P-00324
PH-00414,+91-8145934400,P-00325
PH-00415,+91-8161711161,P-00326
PH-00416,+91-7332066466,P-00326
PH-00417,+91-7647321107,P-00327
PH-00418,+91-8733777412,P-00327
PH-00419,+91-8345826232,P-00328
PH-00420,+91-7022630398,P-00329
PH-00421,+91-9521396066,P-00329
PH-00422,+91-7740871695,P-00330
PH-00423,+91-8226549227,P-00331
PH-00424,+91-8194366143,P-00331
PH-00425,+91-8757745321,P-00332
PH-00426,+91-8437196019,P-00333
PH-00427,+91-7530228333,P-00334
PH-00428,+91-8159166880,P-00334
PH-00429,+91-8177136013,P-00335
PH-00430,+91-7621147342,P-00336
PH-00431,+91-7438061713,P-00337
PH-00432,+91-9437653412,P-00338
PH-00433,+91-9952314142,P-00338
PH-00434,+91-9183036082,P-00339
PH-00435,+91-9179844838,P-00340
PH-00436,+91-7389265193,P-00340
PH-00437,+91-8802674955,P-00341
PH-00438,+91-9620899356,P-00341
PH-00439,+91-8064562412,P-00342
PH-00440,+91-7430624382,P-00343
PH-00441,+91-7353412772,P-00343
PH-00442,+91-7509655104,P-00344
PH-00443,+91-9514599710,P-00345
PH-00444,+91-7170598907,P-00346
PH-00445,+91-8407988261,P-00347
PH-00446,+91-8423272939,P-00348
PH-00447,+91-7924773691,P-00349
PH-00448,+91-9493366223,P-00350
PH-00449,+91-9023729987,P-00351
PH-00450,+91-7817446849,P-00352
PH-00451,+91-9831744541,P-00353
PH-00452,+91-9183466250,P-00354
PH-00453,+91-8552823508,P-00355
PH-00454,+91-7618287489,P-00356
PH-00455,+91-7751625789,P-00357
PH-00456,+91-8314915028,P-00358
PH-00457,+91-7629729163,P-00359
PH-00458,+91-7057890801,P-00360
PH-00459,+91-7654121919,P-00360
PH-00460,+91-8246363385,P-00361
PH-00461,+91-9294293009,P-00362
PH-00462,+91-7726754063,P-00363
PH-00463,+91-8570218041,P-00364
PH-00464,+91-8670765977,P-00364
PH-00465,+91-7997024425,P-00365
PH-00466,+91-8191346773,P-00366
PH-00467,+91-9331764797,P-00367
PH-00468,+91-8048016233,P-00368
PH-00469,+91-7133910070,P-00369
PH-00470,+91-9164052157,P-00370
PH-00471,+91-7934971873,P-00371
PH-00472,+91-9976989498,P-00372
PH-00473,+91-8411934227,P-00373
PH-00474,+91-8609857655,P-00374
PH-00475,+91-7997324618,P-00375
PH-00476,+91-9192011790,P-00376
PH-00477,+91-8085357260,P-00377
PH-00478,+91-9434487189,P-00378
PH-00479,+91-7780795229,P-00379
PH-00480,+91-7688286588,P-00380
PH-00481,+91-7285823941,P-00381
PH-00482,+91-7427592517,P-00381
PH-00483,+91-7134486881,P-00382
PH-00484,+91-7632168427,P-00383
PH-00485,+91-7245381641,P-00384
PH-00486,+91-7987872154,P-00385
PH-00487,+91-8748330142,P-00386
PH-00488,+91-7418835127,P-00387
PH-00489,+91-8803843099,P-00388
PH-00490,+91-9921583445,P-00388
PH-00491,+91-9932457973,P-00389
PH-00492,+91-9063925391,P-00390
PH-00493,+91-9984667163,P-00390
PH-00494,+91-8582164919,P-00391
PH-00495,+91-7547088532,P-00392
PH-00496,+91-9282926899,P-00393
PH-00497,+91-7148984209,P-00394
PH-00498,+91-9603034928,P-00395
PH-00499,+91-8622199744,P-00396
PH-00500,+91-8744777303,P-00396
PH-00501,+91-7542367376,P-00397
PH-00502,+91-8843161150,P-00398
PH-00503,+91-8313589589,P-00398
PH-00504,+91-7678034125,P-00399
PH-00505,+91-7524284959,P-00400
PH-00506,+91-8940211161,P-00401
PH-00507,+91-8650978822,P-00402
PH-00508,+91-7848149768,P-00402
PH-00509,+91-7971145194,P-00403
PH-00510,+91-7560639350,P-00404
PH-00511,+91-8748341223,P-00405
PH-00512,+91-7128093835,P-00406
PH-00513,+91-9895346406,P-00407
PH-00514,+91-7886116752,P-00408
PH-00515,+91-9698137521,P-00409
PH-00516,+91-7004595019,P-00410
PH-00517,+91-9073189319,P-00411
PH-00518,+91-8063520911,P-00412
PH-00519,+91-9366127512,P-00413
PH-00520,+91-9943690148,P-00414
PH-00521,+91-7966352550,P-00414
PH-00522,+91-9051111364,P-00415
PH-00523,+91-7718546659,P-00416
PH-00524,+91-7838812049,P-00417
PH-00525,+91-9367860067,P-00418
PH-00526,+91-9850992081,P-00419
PH-00527,+91-9676667958,P-00420
PH-00528,+91-8062545231,P-00421
PH-00529,+91-8905992549,P-00422
PH-00530,+91-7510068465,P-00423
PH-00531,+91-7759366872,P-00423
PH-00532,+91-7486072784,P-00424
PH-00533,+91-8625133791,P-00425
PH-00534,+91-7606233083,P-00426
PH-00535,+91-7618884666,P-00426
PH-00536,+91-9390333646,P-00427
PH-00537,+91-9121946968,P-00427
PH-00538,+91-8016331354,P-00428
PH-00539,+91-9678761668,P-00429
PH-00540,+91-7227528811,P-00430
PH-00541,+91-8397242145,P-00431
PH-00542,+91-9979094557,P-00432
PH-00543,+91-8318923137,P-00432
PH-00544,+91-9381411545,P-00433
PH-00545,+91-8238260330,P-00434
PH-00546,+91-7360511776,P-00435
PH-00547,+91-7433142550,P-00436
PH-00548,+91-7877028695,P-00437
PH-00549,+91-9596511231,P-00438
PH-00550,+91-8777254353,P-00439
PH-00551,+91-7662928249,P-00440
PH-00552,+91-9489283774,P-00441
PH-00553,+91-9924168238,P-00441
PH-00554,+91-8007253483,P-00442
PH-00555,+91-7506341956,P-00443
PH-00556,+91-7183081241,P-00443
PH-00557,+91-9056181252,P-00444
PH-00558,+91-7069415836,P-00445
PH-00559,+91-8784648894,P-00446
PH-00560,+91-8676264432,P-00447
PH-00561,+91-7003939401,P-00448
PH-00562,+91-7742765985,P-00449
PH-00563,+91-7482956309,P-00450
PH-00564,+91-9147447597,P-00450
PH-00565,+91-9880299707,P-00451
PH-00566,+91-9250324733,P-00452
PH-00567,+91-8611532224,P-00452
PH-00568,+91-7735723334,P-00453
PH-00569,+91-8170819999,P-00454
PH-00570,+91-7387857250,P-00455
PH-00571,+91-9934615681,P-00456
PH-00572,+91-7583466181,P-00457
PH-00573,+91-8964833771,P-00458
PH-00574,+91-7492297460,P-00459
PH-00575,+91-9251649526,P-00459
PH-00576,+91-8141523621,P-00460
PH-00577,+91-8635996734,P-00461
PH-00578,+91-7869620009,P-00462
PH-00579,+91-9823629482,P-00463
PH-00580,+91-8049429369,P-00464
PH-00581,+91-8463772709,P-00465
PH-00582,+91-9669418822,P-00465
PH-00583,+91-8893466027,P-00466
PH-00584,+91-7474021855,P-00467
PH-00585,+91-7417933838,P-00468
PH-00586,+91-8155451853,P-00469
PH-00587,+91-8619465552,P-00469
PH-00588,+91-9272264256,P-00470
PH-00589,+91-8971793440,P-00470
PH-00590,+91-7452995715,P-00471
PH-00591,+91-8255664874,P-00472
PH-00592,+91-8765379962,P-00473
PH-00593,+91-8614179792,P-00473
PH-00594,+91-8260320959,P-00474
PH-00595,+91-8726685743,P-00475
PH-00596,+91-9544738748,P-00475
PH-00597,+91-7770657409,P-00476
PH-00598,+91-7666112248,P-00477
PH-00599,+91-8829672118,P-00478
PH-00600,+91-7360917808,P-00479
PH-00601,+91-8182428264,P-00480
PH-00602,+91-8508628892,P-00481
PH-00603,+91-7794637621,P-00482
PH-00604,+91-9712639437,P-00482
PH-00605,+91-9447728061,P-00483
PH-00606,+91-9279928753,P-00484
PH-00607,+91-9402113453,P-00485
PH-00608,+91-9281065667,P-00485
PH-00609,+91-7177223894,P-00486
PH-00610,+91-8562487847,P-00487
PH-00611,+91-7098929252,P-00488
PH-00612,+91-7462920353,P-00489
PH-00613,+91-7252511635,P-00490
PH-00614,+91-7490533910,P-00491
PH-00615,+91-8539328364,P-00491
PH-00616,+91-8540763939,P-00492
PH-00617,+91-8454894521,P-00493
PH-00618,+91-7939624583,P-00494
PH-00619,+91-7196694207,P-00495
PH-00620,+91-8979732751,P-00496
PH-00621,+91-7035661955,P-00497
PH-00622,+91-9227969545,P-00498
PH-00623,+91-8815843823,P-00498
PH-00624,+91-9324439794,P-00499
PH-00625,+91-7513845628,P-00500
PH-00626,+91-7301278354,P-00500
PH-00627,+91-7410037769,P-00501
PH-00628,+91-8312091139,P-00501
PH-00629,+91-7717361418,P-00502
PH-00630,+91-9695183307,P-00503
PH-00631,+91-9675671398,P-00504
PH-00632,+91-8026295550,P-00505
PH-00633,+91-9103363097,P-00505
PH-00634,+91-7540017165,P-00506
PH-00635,+91-9632358690,P-00506
PH-00636,+91-7638045378,P-00507
PH-00637,+91-7355223683,P-00507
PH-00638,+91-8188589061,P-00508
PH-00639,+91-7091941395,P-00509
PH-00640,+91-7533380984,P-00510
PH-00641,+91-7214037775,P-00511
PH-00642,+91-9478950516,P-00512
PH-00643,+91-8807736440,P-00513
PH-00644,+91-7787545280,P-00514
PH-00645,+91-8868184029,P-00515
PH-00646,+91-8847273413,P-00516
PH-00647,+91-7157451232,P-00517
PH-00648,+91-8011211111,P-00518
PH-00649,+91-9463147015,P-00519
PH-00650,+91-8639135543,P-00520
PH-00651,+91-8030461202,P-00520
PH-00652,+91-7424498432,P-00521
PH-00653,+91-8085663383,P-00522
PH-00654,+91-8645529685,P-00523
PH-00655,+91-8924060084,P-00524
PH-00656,+91-8921314903,P-00525
PH-00657,+91-7950631131,P-00525
PH-00658,+91-9236070700,P-00526
PH-00659,+91-9900692044,P-00527
PH-00660,+91-9354240352,P-00528
PH-00661,+91-9645999320,P-00529
PH-00662,+91-9519231108,P-00530
PH-00663,+91-8466327196,P-00531
PH-00664,+91-7953057227,P-00532
PH-00665,+91-7131199505,P-00533
PH-00666,+91-8270141340,P-00533
PH-00667,+91-9000189544,P-00534
PH-00668,+91-7499384304,P-00535
PH-00669,+91-7319111958,P-00536
PH-00670,+91-7467350572,P-00536
PH-00671,+91-8634822335,P-00537
PH-00672,+91-8027932245,P-00538
PH-00673,+91-7968631164,P-00538
PH-00674,+91-7917885564,P-00539
PH-00675,+91-8157921695,P-00540
PH-00676,+91-7587170390,P-00541
PH-00677,+91-8550743557,P-00542
PH-00678,+91-9130828408,P-00543
PH-00679,+91-7406284545,P-00543
PH-00680,+91-7129757641,P-00544
PH-00681,+91-9814747568,P-00544
PH-00682,+91-8340391223,P-00545
PH-00683,+91-9230126906,P-00545
PH-00684,+91-8201777171,P-00546
PH-00685,+91-9768391871,P-00546
PH-00686,+91-8224420943,P-00547
PH-00687,+91-8657868994,P-00548
PH-00688,+91-7861299463,P-00548
PH-00689,+91-9033694392,P-00549
PH-00690,+91-9428242088,P-00550
PH-00691,+91-7506423801,P-00551
PH-00692,+91-8231430736,P-00552
PH-00693,+91-9797819565,P-00553
PH-00694,+91-7730860885,P-00553
PH-00695,+91-9192622255,P-00554
PH-00696,+91-8143371063,P-00554
PH-00697,+91-9105280138,P-00555
PH-00698,+91-9949570929,P-00555
PH-00699,+91-7281233628,P-00556
PH-00700,+91-8300766769,P-00557
PH-00701,+91-8315753086,P-00558
PH-00702,+91-8039654882,P-00559
PH-00703,+91-7696772419,P-00560
PH-00704,+91-7374646487,P-00560
PH-00705,+91-7125481444,P-00561
PH-00706,+91-7510371599,P-00561
PH-00707,+91-9097837979,P-00562
PH-00708,+91-8861814105,P-00563
PH-00709,+91-7204457381,P-00564
PH-00710,+91-9587266375,P-00564
PH-00711,+91-7699317088,P-00565
PH-00712,+91-7693013007,P-00565
PH-00713,+91-7884243039,P-00566
PH-00714,+91-9083033082,P-00566
PH-00715,+91-7464419077,P-00567
PH-00716,+91-8327320709,P-00568
PH-00717,+91-9863169168,P-00569
PH-00718,+91-8719538063,P-00570
PH-00719,+91-9194244006,P-00570
PH-00720,+91-9721517044,P-00571
PH-00721,+91-9932566168,P-00572
PH-00722,+91-9468048915,P-00573
PH-00723,+91-7650755780,P-00574
PH-00724,+91-8578172324,P-00575
PH-00725,+91-8754731061,P-00575
PH-00726,+91-8162284752,P-00576
PH-00727,+91-8275111301,P-00576
PH-00728,+91-7254997551,P-00577
PH-00729,+91-8060897040,P-00578
PH-00730,+91-7046429727,P-00579
PH-00731,+91-7483275463,P-00580
PH-00732,+91-9832151472,P-00580
PH-00733,+91-9595298335,P-00581
PH-00734,+91-7861178248,P-00582
PH-00735,+91-9366710481,P-00582
